orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,codigo_unidade_orcamentaria,codigo_item,nome_item,codigo_natureza_despesa_detalhada,nome_natureza_despesa_detalhada,valor
244,MINISTÉRIO DA EDUCAÇÃO,MEC,448,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET-RJ,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET-RJ,202110,26256,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1829.7
244,MINISTÉRIO DA EDUCAÇÃO,MEC,457,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,202110,26253,11,Contratação Temporária,33900422,AUXILIO-CRECHE,914.85
244,MINISTÉRIO DA EDUCAÇÃO,MEC,460,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,202110,26255,11,Contratação Temporária,33900422,AUXILIO-CRECHE,609.9
244,MINISTÉRIO DA EDUCAÇÃO,MEC,459,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,202110,26254,11,Contratação Temporária,33900422,AUXILIO-CRECHE,609.9
244,MINISTÉRIO DA EDUCAÇÃO,MEC,67671,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,202110,26252,11,Contratação Temporária,33900422,AUXILIO-CRECHE,304.95
244,MINISTÉRIO DA EDUCAÇÃO,MEC,52702,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,202110,26251,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3852.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1605,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,202110,26250,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3964.35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,433,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,202110,26248,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,429,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,202110,26246,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2391.45
244,MINISTÉRIO DA EDUCAÇÃO,MEC,431,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,202110,26247,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2375.4
244,MINISTÉRIO DA EDUCAÇÃO,MEC,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,202110,26245,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2439.6
244,MINISTÉRIO DA EDUCAÇÃO,MEC,417,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,202110,26243,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3435.77
244,MINISTÉRIO DA EDUCAÇÃO,MEC,430,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,202110,26244,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,418,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,202110,26242,11,Contratação Temporária,33900422,AUXILIO-CRECHE,6997.8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,419,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,202110,26240,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1717.35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,428,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,202110,26241,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1524.75
244,MINISTÉRIO DA EDUCAÇÃO,MEC,424,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,202110,26237,11,Contratação Temporária,33900422,AUXILIO-CRECHE,6403.95
244,MINISTÉRIO DA EDUCAÇÃO,MEC,423,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,202110,26238,11,Contratação Temporária,33900422,AUXILIO-CRECHE,914.85
244,MINISTÉRIO DA EDUCAÇÃO,MEC,427,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,202110,26236,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1219.8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,422,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,202110,26235,11,Contratação Temporária,33900422,AUXILIO-CRECHE,5468.77
