orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,122386,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,202110,2,3,5,601,1
244,MINISTÉRIO DA EDUCAÇÃO,MEC,416,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,202110,2,80,82,5397,6
244,MINISTÉRIO DA EDUCAÇÃO,MEC,424,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,202110,3,42,45,3118,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,431,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,202110,8,52,60,4543,3
244,MINISTÉRIO DA EDUCAÇÃO,MEC,445,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,202110,2,1,3,1599,11
244,MINISTÉRIO DA EDUCAÇÃO,MEC,466,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,202110,8,3,11,1428,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,473,FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,202110,1,1,2,1643,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,468,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,202110,3,24,27,2922,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,475,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,202110,6,8,14,2247,9
244,MINISTÉRIO DA EDUCAÇÃO,MEC,250,FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,202110,33,7,40,348,4
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100921,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,202110,4,24,28,3169,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100902,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS",IFMGSE,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS",IFMGSE,202110,1,0,1,1293,10
